sentence,source_file,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,results,sentence_split,iob
TP1179_sample_ger_180.txt_17577-17584,['TP1179_sample_ger_180.txt'],[17577],[17582],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=17577, end=17582, entitycategory=PERSON)']",['Price'],Price .,['ASPECT'],['PERSON'],"(['Price', '.'], ['B-PERSON', 'O'])","['Price', '.']","['B-PERSON', 'O']"
TP1179_sample_ger_180.txt_17918-18203,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[17946, 18042, 18179]","[17951, 18065, 18187]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=17946, end=17951, entitycategory=NAT_PHENOMENON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18042, end=18065, entitycategory=PERSON, sentimentcategory=1)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18179, end=18187, entitycategory=MYTH)']","['Natur', 'mit Kummer beladne Herz', 'Gottheit']","So zwingt das Anschauen der Natur , wenn sie mit verschwenderischer Hand ihre Schönheiten um uns her verstreut , selbst das mit Kummer beladne Herz zu der Erkenntniß , daß das Daseyn ein Glük ist ; und diese Erkenntnis ist die erhabenste Anbetung , die wir der Gottheit zollen können .","['ASPECT', 'NULL_CAT', 'ASPECT']","['NAT_PHENOMENON', 'PERSON', 'MYTH']","(['So', 'zwingt', 'das', 'Anschauen', 'der', 'Natur', ',', 'wenn', 'sie', 'mit', 'verschwenderischer', 'Hand', 'ihre', 'Schönheiten', 'um', 'uns', 'her', 'verstreut', ',', 'selbst', 'das', 'mit', 'Kummer', 'beladne', 'Herz', 'zu', 'der', 'Erkenntniß', ',', 'daß', 'das', 'Daseyn', 'ein', 'Glük', 'ist', ';', 'und', 'diese', 'Erkenntnis', 'ist', 'die', 'erhabenste', 'Anbetung', ',', 'die', 'wir', 'der', 'Gottheit', 'zollen', 'können', '.'], ['O', 'O', 'O', 'O', 'O', 'B-NAT_PHENOMENON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MYTH', 'O', 'O', 'O'])","['So', 'zwingt', 'das', 'Anschauen', 'der', 'Natur', ',', 'wenn', 'sie', 'mit', 'verschwenderischer', 'Hand', 'ihre', 'Schönheiten', 'um', 'uns', 'her', 'verstreut', ',', 'selbst', 'das', 'mit', 'Kummer', 'beladne', 'Herz', 'zu', 'der', 'Erkenntniß', ',', 'daß', 'das', 'Daseyn', 'ein', 'Glük', 'ist', ';', 'und', 'diese', 'Erkenntnis', 'ist', 'die', 'erhabenste', 'Anbetung', ',', 'die', 'wir', 'der', 'Gottheit', 'zollen', 'können', '.']","['O', 'O', 'O', 'O', 'O', 'B-NAT_PHENOMENON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MYTH', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_18372-18618,['TP1179_sample_ger_180.txt'],[18402],[18422],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18402, end=18422, entitycategory=PERSON)']",['Menschengeschlechtes'],"Soll es mit der Moralität des Menschengeschlechtes wirklich weiter kommen , so muß , meiner Ueberzeugung nach , auch unsern finnlichen Vergnügungen , indem man sie mit den Geschmak Hand in Hand gehen läßt , ein größerer Spielraum geöfnet werden .",['NULL_CAT'],['PERSON'],"(['Soll', 'es', 'mit', 'der', 'Moralität', 'des', 'Menschengeschlechtes', 'wirklich', 'weiter', 'kommen', ',', 'so', 'muß', ',', 'meiner', 'Ueberzeugung', 'nach', ',', 'auch', 'unsern', 'finnlichen', 'Vergnügungen', ',', 'indem', 'man', 'sie', 'mit', 'den', 'Geschmak', 'Hand', 'in', 'Hand', 'gehen', 'läßt', ',', 'ein', 'größerer', 'Spielraum', 'geöfnet', 'werden', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Soll', 'es', 'mit', 'der', 'Moralität', 'des', 'Menschengeschlechtes', 'wirklich', 'weiter', 'kommen', ',', 'so', 'muß', ',', 'meiner', 'Ueberzeugung', 'nach', ',', 'auch', 'unsern', 'finnlichen', 'Vergnügungen', ',', 'indem', 'man', 'sie', 'mit', 'den', 'Geschmak', 'Hand', 'in', 'Hand', 'gehen', 'läßt', ',', 'ein', 'größerer', 'Spielraum', 'geöfnet', 'werden', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_18619-18885,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[18678, 18692, 18764, 18869]","[18687, 18698, 18770, 18876]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18678, end=18687, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18692, end=18698, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18764, end=18770, entitycategory=PERSON, sentimentcategory=4)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18869, end=18876, entitycategory=HUM_LANDFORM)']","['Bewohnern', 'Norden', 'Jugend', 'Häusern']","Diese Bemerkung hat sich mir mehr , als einmal , unter den Bewohnern des Norden aufgedrungen , deren sanguinischer Karakter , wenn das Feuer der Jugend verflogen ist , seine Zuflucht gewöhnlich zum Trunk nimmt. » ( 195 ) Doch wieder zu den hölzernen Häusern zurück .","['NULL_CAT', 'ASPECT', 'NULL_CAT', 'ASPECT']","['PERSON', 'LOCATION', 'PERSON', 'HUM_LANDFORM']","(['Diese', 'Bemerkung', 'hat', 'sich', 'mir', 'mehr', ',', 'als', 'einmal', ',', 'unter', 'den', 'Bewohnern', 'des', 'Norden', 'aufgedrungen', ',', 'deren', 'sanguinischer', 'Karakter', ',', 'wenn', 'das', 'Feuer', 'der', 'Jugend', 'verflogen', 'ist', ',', 'seine', 'Zuflucht', 'gewöhnlich', 'zum', 'Trunk', 'nimmt', '.', '195', 'Doch', 'wieder', 'zu', 'den', 'hölzernen', 'Häusern', 'zurück', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O'])","['Diese', 'Bemerkung', 'hat', 'sich', 'mir', 'mehr', ',', 'als', 'einmal', ',', 'unter', 'den', 'Bewohnern', 'des', 'Norden', 'aufgedrungen', ',', 'deren', 'sanguinischer', 'Karakter', ',', 'wenn', 'das', 'Feuer', 'der', 'Jugend', 'verflogen', 'ist', ',', 'seine', 'Zuflucht', 'gewöhnlich', 'zum', 'Trunk', 'nimmt', '.', '195', 'Doch', 'wieder', 'zu', 'den', 'hölzernen', 'Häusern', 'zurück', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']"
TP1179_sample_ger_180.txt_18886-19050,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[18890, 18899, 18936, 18953]","[18898, 18915, 18942, 18959]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18890, end=18898, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18899, end=18915, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=18936, end=18942, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=18953, end=18959, entitycategory=LOCATION)']","['hiesigen', 'Pächterwohnungen', 'Dörfer', 'Gegend']","Die hiesigen Pächterwohnungen , sowie die kleinen Dörfer in dieser Gegend , find alle in derselben einfachen Manier , und machen einen sehr mahleri schen Eindruck .","['ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT']","['LOCATION', 'HUM_LANDFORM', 'HUM_LANDFORM', 'LOCATION']","(['Die', 'hiesigen', 'Pächterwohnungen', ',', 'sowie', 'die', 'kleinen', 'Dörfer', 'in', 'dieser', 'Gegend', ',', 'find', 'alle', 'in', 'derselben', 'einfachen', 'Manier', ',', 'und', 'machen', 'einen', 'sehr', 'mahleri', 'schen', 'Eindruck', '.'], ['O', 'B-LOCATION', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Die', 'hiesigen', 'Pächterwohnungen', ',', 'sowie', 'die', 'kleinen', 'Dörfer', 'in', 'dieser', 'Gegend', ',', 'find', 'alle', 'in', 'derselben', 'einfachen', 'Manier', ',', 'und', 'machen', 'einen', 'sehr', 'mahleri', 'schen', 'Eindruck', '.']","['O', 'B-LOCATION', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_19051-19161,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[19091, 19127]","[19097, 19133]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19091, end=19097, entitycategory=ORGANISATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19127, end=19133, entitycategory=HUM_LANDFORM)']","['Reichs', 'Häuser']",In den weiter entlegenen Theilen dieses Reichs hatte besonders die Lage der Häuser für mich viel anziehendes .,"['ASPECT', 'ASPECT']","['ORGANISATION', 'HUM_LANDFORM']","(['In', 'den', 'weiter', 'entlegenen', 'Theilen', 'dieses', 'Reichs', 'hatte', 'besonders', 'die', 'Lage', 'der', 'Häuser', 'für', 'mich', 'viel', 'anziehendes', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O'])","['In', 'den', 'weiter', 'entlegenen', 'Theilen', 'dieses', 'Reichs', 'hatte', 'besonders', 'die', 'Lage', 'der', 'Häuser', 'für', 'mich', 'viel', 'anziehendes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_19162-19276,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[19200, 19229, 19259]","[19205, 19232, 19267]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19200, end=19205, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19229, end=19232, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19259, end=19267, entitycategory=HUM_LANDFORM)']","['Bache', 'See', 'Pachthof']","Sie wurden entweder von einem kleinen Bache oder von einem kleinen See begränzt , der den ganzen Pachthof umfloß .","['ASPECT', 'ASPECT', 'ASPECT']","['NAT_LANDFORM', 'NAT_LANDFORM', 'HUM_LANDFORM']","(['Sie', 'wurden', 'entweder', 'von', 'einem', 'kleinen', 'Bache', 'oder', 'von', 'einem', 'kleinen', 'See', 'begränzt', ',', 'der', 'den', 'ganzen', 'Pachthof', 'umfloß', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O'])","['Sie', 'wurden', 'entweder', 'von', 'einem', 'kleinen', 'Bache', 'oder', 'von', 'einem', 'kleinen', 'See', 'begränzt', ',', 'der', 'den', 'ganzen', 'Pachthof', 'umfloß', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']"
TP1179_sample_ger_180.txt_19277-19360,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[19288, 19338]","[19295, 19342]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=19288, end=19295, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19338, end=19342, entitycategory=NAT_LANDFORM)']","['Familie', 'Land']","So wie die Familie größer wird , wird auch ein kleines Stück Land mehr bearbeitet .","['NULL_CAT', 'ASPECT']","['PERSON', 'NAT_LANDFORM']","(['So', 'wie', 'die', 'Familie', 'größer', 'wird', ',', 'wird', 'auch', 'ein', 'kleines', 'Stück', 'Land', 'mehr', 'bearbeitet', '.'], ['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O'])","['So', 'wie', 'die', 'Familie', 'größer', 'wird', ',', 'wird', 'auch', 'ein', 'kleines', 'Stück', 'Land', 'mehr', 'bearbeitet', '.']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_19361-19399,['TP1179_sample_ger_180.txt'],[19365],[19378],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=19365, end=19378, entitycategory=PERSON)']",['Bevölke- rung'],Die Bevölke- rung gewinnt dabei sehr .,['NULL_CAT'],['PERSON'],"(['Die', 'Bevölke', 'rung', 'gewinnt', 'dabei', 'sehr', '.'], ['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O'])","['Die', 'Bevölke', 'rung', 'gewinnt', 'dabei', 'sehr', '.']","['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_19400-19456,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[19419, 19435]","[19426, 19440]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=19419, end=19426, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19435, end=19440, entitycategory=NAT_LANDFORM)']","['Pächter', 'Lande']",Ehemals hauten die Pächter hier zu Lande viel Holz aus .,"['NULL_CAT', 'ASPECT']","['PERSON', 'NAT_LANDFORM']","(['Ehemals', 'hauten', 'die', 'Pächter', 'hier', 'zu', 'Lande', 'viel', 'Holz', 'aus', '.'], ['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O'])","['Ehemals', 'hauten', 'die', 'Pächter', 'hier', 'zu', 'Lande', 'viel', 'Holz', 'aus', '.']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_19457-19519,['TP1179_sample_ger_180.txt'],[19480],[19489],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19480, end=19489, entitycategory=BIOME)']",['Waldungen'],Jetzt glauben fie ihre Waldungen ein wenig schonen zu müffen .,['ASPECT'],['BIOME'],"(['Jetzt', 'glauben', 'fie', 'ihre', 'Waldungen', 'ein', 'wenig', 'schonen', 'zu', 'müffen', '.'], ['O', 'O', 'O', 'O', 'B-BIOME', 'O', 'O', 'O', 'O', 'O', 'O'])","['Jetzt', 'glauben', 'fie', 'ihre', 'Waldungen', 'ein', 'wenig', 'schonen', 'zu', 'müffen', '.']","['O', 'O', 'O', 'O', 'B-BIOME', 'O', 'O', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_19576-19716,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[19587, 19693]","[19597, 19701]","['Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19587, end=19597, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19693, end=19701, entitycategory=HUM_LANDFORM)']","['Holzfällen', 'Akkerbau']","Machte das Holzfällen vorzüglich ihren Lebens- unterhalt aus , so würde ihre Haushaltung bald dabei leiden , und der Akkerbau zurückkommen .","['ASPECT', 'ASPECT']","['HUM_LANDFORM', 'HUM_LANDFORM']","(['Machte', 'das', 'Holzfällen', 'vorzüglich', 'ihren', 'Lebens', 'unterhalt', 'aus', ',', 'so', 'würde', 'ihre', 'Haushaltung', 'bald', 'dabei', 'leiden', ',', 'und', 'der', 'Akkerbau', 'zurückkommen', '.'], ['O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O'])","['Machte', 'das', 'Holzfällen', 'vorzüglich', 'ihren', 'Lebens', 'unterhalt', 'aus', ',', 'so', 'würde', 'ihre', 'Haushaltung', 'bald', 'dabei', 'leiden', ',', 'und', 'der', 'Akkerbau', 'zurückkommen', '.']","['O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']"
TP1179_sample_ger_180.txt_19787-20045,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[19809, 19846, 19954, 19986]","[19818, 19855, 19960, 20004]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19809, end=19818, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19846, end=19855, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=19954, end=19960, entitycategory=FLORA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=19986, end=20004, entitycategory=PERSON)']","['Waldpläze', 'Pachthöfe', 'Tannen', 'Leute von Vermögen']","Sie werden die leeren Waldpläze bebauen müssen , wenn ihre Pachthöfe nicht ihren Wert verlieren sollen ; und ihr Unter- halt wird nicht von einer künftigen Generation Tannen abhängen . - - - - - Die Leute von Vermögen haben große Sorge falt für ihr Bauholz .","['ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT']","['NAT_LANDFORM', 'HUM_LANDFORM', 'FLORA', 'PERSON']","(['Sie', 'werden', 'die', 'leeren', 'Waldpläze', 'bebauen', 'müssen', ',', 'wenn', 'ihre', 'Pachthöfe', 'nicht', 'ihren', 'Wert', 'verlieren', 'sollen', ';', 'und', 'ihr', 'Unter', 'halt', 'wird', 'nicht', 'von', 'einer', 'künftigen', 'Generation', 'Tannen', 'abhängen', '.', 'Die', 'Leute', 'von', 'Vermögen', 'haben', 'große', 'Sorge', 'falt', 'für', 'ihr', 'Bauholz', '.'], ['O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Sie', 'werden', 'die', 'leeren', 'Waldpläze', 'bebauen', 'müssen', ',', 'wenn', 'ihre', 'Pachthöfe', 'nicht', 'ihren', 'Wert', 'verlieren', 'sollen', ';', 'und', 'ihr', 'Unter', 'halt', 'wird', 'nicht', 'von', 'einer', 'künftigen', 'Generation', 'Tannen', 'abhängen', '.', 'Die', 'Leute', 'von', 'Vermögen', 'haben', 'große', 'Sorge', 'falt', 'für', 'ihr', 'Bauholz', '.']","['O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
TP1179_sample_ger_180.txt_20046-20265,"['TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt', 'TP1179_sample_ger_180.txt']","[20098, 20114, 20133, 20201, 20228, 20246]","[20102, 20122, 20139, 20207, 20235, 20253]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=20098, end=20102, entitycategory=BIOME)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=20114, end=20122, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=20133, end=20139, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=20201, end=20207, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=20228, end=20235, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=20246, end=20253, entitycategory=PERSON)']","['Wald', 'Tönsberg', 'Grafen', 'Häuser', 'Förster', 'Familie']","Auf meiner Fahrt durch - - N 2 - ( 196 ) '' , einen Wald , nahe bei Tönsberg , der dem Grafen gehört , ward meine Aufmerksamkeit durch den Anblick einiger Häuser angezogen , die der Förster und seine Familie bewohnten .","['ASPECT', 'ASPECT', 'NULL_CAT', 'ASPECT', 'NULL_CAT', 'NULL_CAT']","['BIOME', 'LOCATION', 'PERSON', 'HUM_LANDFORM', 'PERSON', 'PERSON']","(['Auf', 'meiner', 'Fahrt', 'durch', 'N', '2', '196', ""''"", ',', 'einen', 'Wald', ',', 'nahe', 'bei', 'Tönsberg', ',', 'der', 'dem', 'Grafen', 'gehört', ',', 'ward', 'meine', 'Aufmerksamkeit', 'durch', 'den', 'Anblick', 'einiger', 'Häuser', 'angezogen', ',', 'die', 'der', 'Förster', 'und', 'seine', 'Familie', 'bewohnten', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BIOME', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O'])","['Auf', 'meiner', 'Fahrt', 'durch', 'N', '2', '196', ""''"", ',', 'einen', 'Wald', ',', 'nahe', 'bei', 'Tönsberg', ',', 'der', 'dem', 'Grafen', 'gehört', ',', 'ward', 'meine', 'Aufmerksamkeit', 'durch', 'den', 'Anblick', 'einiger', 'Häuser', 'angezogen', ',', 'die', 'der', 'Förster', 'und', 'seine', 'Familie', 'bewohnten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BIOME', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O']"
